Compound no,nS,BCUTs-1l,NsssN,AATS2i,BCUTd-1h,MATS2i,EState_VSA5,PEOE_VSA3,ATSC2i,NddssS,VSA_EState1,SlogP_VSA2,Binary
358,0,0.30020664,1,146.9825263,4.042887713,-0.076358067,34.03208555,13.55677072,-12.10498579,1,23.4065895,14.12948199,0
359,0,1.192098361,1,151.1011939,4.017086706,-0.097761859,17.03264387,0,-19.5631934,0,0,50.92022049,0
361,0,0.297606009,1,160.5562272,4.048468062,0.026809981,36.85536241,13.89789358,2.532605531,1,30.31949159,43.75927406,0
362,0,0.297581148,1,154.1189499,4.048548957,0.035660407,12.13273414,8.417796984,7.066186462,1,33.74284148,46.52608467,0
363,0,0.298936993,0,150.8006442,4.043816728,0.067545032,12.13273414,8.417796984,7.842400492,1,26.98691055,25.5354705,0
364,0,0.297600192,1,159.0777895,4.048529965,-0.107172243,24.53656793,13.89789358,-12.79310465,1,26.32710947,48.59849708,0
366,0,0.295952953,0,148.7128516,4.048984679,0.072040422,24.26546827,16.83559397,10.07867228,2,55.88913301,36.10834042,0
367,0,1.22962214,0,145.9871042,3.168221285,-0.057371907,0,0,-5.420254158,0,0,16.85907763,0
368,0,0.296086529,0,143.8869504,4.048724434,-0.05296003,36.39820241,12.80821203,-7.470637142,1,38.78971995,19.49362967,0
369,1,1.296109073,0,151.5555439,3.282129484,-0.115665605,0,0,-14.81280845,0,0,22.54244205,0
371,0,1.195084349,0,148.567606,3.279883885,-0.078098341,48.54058959,9.589074368,-13.20726647,0,16.56312448,61.25792859,0
372,1,1.296111262,0,151.1536808,3.282117868,-0.09831896,0,0,-11.07637277,0,0,22.54244205,0
373,0,0.298937254,0,148.7081347,4.043816275,-0.070021759,12.13273414,8.417796984,-7.729245513,1,26.98456499,30.51944902,0
374,1,0.297582975,1,159.6020894,4.048623348,0.02335505,36.85536241,18.69243077,4.249754699,1,37.73394043,79.76374918,0
376,0,0.298255181,0,153.2504068,4.045641783,-0.003388606,83.75659802,27.79578716,-1.242127454,2,72.08557224,100.9558857,0
377,0,1.192097475,1,154.4150862,4.017084103,-0.130533383,17.03264387,0,-26.46650085,0,5.763659909,57.52710245,0
378,0,0.300205924,1,148.5328931,4.042889581,-0.085773292,28.46863406,13.55677072,-14.3690777,1,29.05202041,20.73636395,0
379,1,1.296110277,0,151.3696822,3.282123661,-0.107534565,0,0,-12.94575317,0,0,22.54244205,0
381,0,0.297566063,1,149.7451134,4.048670689,0.072919812,18.19910121,13.89789358,10.31953214,1,33.72281381,30.38220214,0
382,0,0.296651361,2,156.465994,4.045573518,0.001306552,10.37158306,22.17664575,0.27057199,1,46.11086002,66.99863463,0
383,1,1.296104548,0,152.5405314,3.284084573,-0.054970518,10.94967571,0,-9.262635031,0,0,34.07117698,0
384,0,0.623763773,0,151.0136544,3.15965971,6.61E-04,18.18270657,5.480096598,0.080002019,0,5.489172539,22.97125275,0
386,0,0.296085523,0,146.4237413,4.048730887,0.108239213,31.18920547,8.417796984,12.85823156,1,31.35107062,26.60342721,0
387,0,0.623821522,0,153.1144964,3.125486772,-0.008030176,18.18270657,5.480096598,-0.955696823,0,5.464641642,22.97125275,0
388,0,1.356800085,0,150.8012143,3.208571049,0.076522607,5.480096598,10.27463378,5.769405443,0,5.16394487,11.11443275,0
